marca;familia;tipo;unidade;qtd;capacidade_tanque_L;media_esperada;tolerancia_pct;ref_tanque_p95_L;ref_media_historica;veiculos_com_historico;modelos_incluidos;exemplos
MERCEDES-BENZ;ATEGO;Caçamba Truckado;L/h;4;;;;285;;0;ATEGO 2426 CE / ATEGO 2430 / ATEGO 2730CE;RET8F89 / JBA4E91 / QJS8A50
CATERPILLAR;CATERPILLAR;Escavadeira;L/h;2;;;;;;0;CATERPILLAR;ESC 1 / TFE-ESC1
CHEVROLET;12000;Caçamba Toco;L/h;2;;;;;;0;12000;RE442 / RE456
FORD;2629;Caçamba Traçado;L/h;2;;;;;;0;2629;IUN7E00 / IUS2H68
FORD;F-4000;Caminhão Carroceria;L/h;2;;;;5000;;0;F-4000 / F-4000 COMBOIO CANDIOTA;RE518 / RE546
FOTON;3.5;Caminhão Carroceria;L/h;2;1000;;;1000;;0;3.5 11DT 4X2;RE559 / RE558
JCB;3CX;Retroescavadeira;L/h;2;;;;;;0;3CX / 3CX 2WS4WD;3CX / JDB8A07
MERCEDES;1718;Caçamba Truckado;L/h;2;;;;;;0;1718 / 1718 K;IGA7J72 / CPT7E10
MERCEDES-BENZ;AXOR;Caçamba Traçado;L/h;2;;;;;;0;AXOR 33446X4 / AXOR 4144K6X4;RMI4A52 / GSV0I25
RANDON;CAÇAMBA;Semirreboques;Km/L;2;;;;;;0;CAÇAMBA LS;RE812 / RE480
VOLVO;VM 270;Caçamba;L/h;2;;;;;;0;VM 270 6X2R;TZN-CAM2 / TZN-CAM1
ARTESANAL;TANQUE;Semirreboques;Km/L;1;;;;;;0;TANQUE 3E;RE614
CAT;320;Escavadeira;L/h;1;;;;;;0;320 GC;CAT 320GC VALMIR
CATERPILLAR;315DL;Escavadeira;L/h;1;;;;;;0;315DL;TBG-ESC1
CATERPILLAR;D6N;Trator Esteira;L/h;1;;;;;;0;D6N;D6N
CHEVROLET;D-60;Caminhão Pipa;L/h;1;;;;;;0;D-60 PICHE;RE630
COMPRESSOR GASOLINA PRESSURE;PRPD200AP-021;Utilitários;Km/L;1;202;;;;;0;PRPD200AP-021;RE 860
DYNACOM;PIOVESAN;Rolo;L/h;1;;;;;;0;PIOVESAN;TPI-ROL1
ESC;312;Escavadeira;L/h;1;;;;260;;0;312 MPP;ESC 9
ESCAVADEIRA;23T;Escavadeira;L/h;1;;;;;;0;23T;TMS-ESC1
ESCAVADEIRA;ZELOMAQUI;Escavadeira;L/h;1;;;;;;0;ZELOMAQUI;TZE-ESC1
FERREIRA RFA CARRETÃO;R/FERREIRA;Semirreboques;Km/L;1;;;;;;0;R/FERREIRA RFA 02;RE 687
FORD;2428E;Caminhão Carroceria;L/h;1;;;;;;0;2428E PRANCHA;RE223 CANOAS
