marca;familia;tipo;unidade;qtd;capacidade_tanque_L;media_esperada;tolerancia_pct;ref_tanque_p95_L;ref_media_historica;veiculos_com_historico;modelos_incluidos;exemplos
XCMG;GR1803BR;Motoniveladora;L/h;38;240;20;30;230;16.83;23;GR1803BR;RE733 / RE668 / RE730
FIAT;STRADA;Camionete;Km/L;20;55;10;20;52;12.45;18;STRADA 1.4 CS / STRADA ADVENTURE CD / STRADA CS / STRADA ENDURANCE CS / STRADA FREEDOM 13CD / STRADA FREEDOM CD13 / STRADA HD WH CC / STRADA HD WK CC E / STRADA HD WK CD E / STRADA WORKING / STRADA WORKING 1.4 CD / STRADA WORKING 1.4 CE / STRADA WORKING 1.4 CS;RE527 / RE556 / RE793
XCMG;XS123PDBR;Rolo;L/h;20;240;10;20;200;12.74;14;XS123PDBR;RE789 / RE658 / RE839
RENAULT;OROCH;Camionete;Km/L;16;50;10;20;46;12.67;15;OROCH 16 / OROCH 16 4X2 / OROCH EXP 16 SCE / OROCH INTENSE 16M / OROCH INTENSE16M / OROCH PRO 16;RE723 / RE677 / RE828
XCMG;GR180;Motoniveladora;L/h;14;240;20;20;236;18.65;5;GR180;RE156 / RE427 / RE465
XCMG;XE225BR;Escavadeira;L/h;10;400;25;20;300;15.14;8;XE225BR 22,5T;RE729 / RE629 / RE700
VOLKSWAGEN;SAVEIRO;Camionete;Km/L;9;55;10;20;52;12.16;9;SAVEIRO 1.6 CE / SAVEIRO 1.6 CS / SAVEIRO CROSS CE 1.6 / SAVEIRO CS ST MB / SAVEIRO RB MBVS / SAVEIRO ROBUST MBVS / SAVEIRO TRENDLINE MBVS;RE755 / RE715 / RE542
Volkswagen;24-280;Caçamba Truckado;L/h;8;275;6;20;395;8.21;7;24-280 6X2 / 24-280 6X2 COSTELLATION / 24-280 CONSTEL. 6X2;RE593 / RE632 / RE583
Volkswagen;31.320;Caçamba Traçado;L/h;8;275;6;20;246;11.50;5;31.320 CRM 6X4;RE781 / RE780 / RE778
XCMG;XC870BR-I;Retroescavadeira;L/h;8;130;8;20;200;6.57;6;XC870BR-I;RE674 / RE801 / RE750
SANY;SSRD120;Rolo;L/h;7;300;10;20;210;18.68;1;SSRD120;RE450 / RE718 / RE497
XCMG;XE150BR;Escavadeira;L/h;7;250;20;20;200;11.54;3;XE150BR 14,5T;RE570 / RE787 / RE645
FORD;CARGO;Caçamba Truckado;L/h;6;275;6;20;243;;0;CARGO 1722 E / CARGO 2428 / CARGO 2428 - TER. ARAMBARÉ CLÉBI / CARGO 2626 - TER. ALEGRIA / CARGO 2628 - TER. ARAMBARÉ CLÉBI / CARGO 2628 E;DZI5886 / IOR8260 / TER. 3
CHEVROLET;MONTANA;Camionete;Km/L;5;54;10;20;54;10.67;4;MONTANA CONQUEST / MONTANA LS;RE547 / RE696 / RE751
FORD;RANGER;Camionete;Km/L;5;80;7;20;67;13.14;4;RANGER I XL 13P / RANGER LIMITED 3.0 / RANGER XL 13F / RANGER XLS 10A / RANGER XLS 12A;RE758 / RE648 / RE601
RANDON;RK 406B;Retroescavadeira;L/h;5;240;12;20;200;;0;RK 406B;RE496 / RE310 / RE463
XCMG;LW300KV;Pá Carregadeira;L/h;5;150;15;20;200;6.45;4;LW300KV;RE646 / RE807 / RE634
CAT;D 416;Retroescavadeira;L/h;4;144;10;20;150;7.27;2;D 416;RE607 / RE641 / RE643
CHEVROLET;S10;Camionete;Km/L;4;76;8;20;300;10.09;4;S10 ADV FD2 / S10 ADV FD2 - COMBOIO N. ALVORADA / S10 ADVANTAGE S;RE654 / RE627 / RE698
IVECO;TECTOR;Caçamba Truckado;L/h;4;275;6;20;218;8.32;3;TECTOR 24-280 6X2 / TECTOR 240E25 - TER. ALEGRIA;RE819 / RE818 / RE820
RANDON;RD 406;Retroescavadeira;L/h;4;240;12;20;188;38.52;1;RD 406 ADV;RE794 / RE483 / RE719
XCMG;XE225BR;Escavadeira + Rompedor;L/h;4;400;25;20;300;10.15;4;XE225BR 22,5T / XE225BR 22,5T KIT ROMPEDOR;RE703 KIT ROMPEDOR / RE637 ROMPEDOR / RE563
XCMG;XS120PD;Rolo;L/h;4;240;10;20;200;;0;XS120PD;RE345 / RE130 / RE492
CATERPILLAR;D416;Retroescavadeira;L/h;3;144;10;20;150;5.21;2;D416;RE608 / RE642 / RE606
CHEVROLET;CELTA;Automóvel;Km/L;3;54;11;20;44;11.78;1;CELTA 1.0 LS / CELTA 1.0L LS / CELTA HATCH 1.0;RE531 / RE586  / RE526
FIAT;FIORINO;Automóvel;Km/L;3;55;10;20;53;12.55;3;FIORINO ENDURANCE;RE832 / RE841 / RE724
FIAT;UNO;Automóvel;Km/L;3;48;12;20;46;10.44;2;UNO MILLE FIRE 1.0;RE550 / RE721 / RE722
MERCEDES;1620;Caçamba Truckado;L/h;3;300;6;20;200;4.81;1;1620;RE482 / RE454 / RE471
Volkswagen;23-210;Caçamba Truckado;L/h;3;275;6;20;232;6.25;1;23-210 6X2;RE512 / RE139 / RE453
